hash_type,hash_value,dataset_a_count,dataset_b_count,dataset_a_sample_paths,dataset_b_sample_paths,dataset_a_sample_image_ids,dataset_b_sample_image_ids
average_hash,00008080c0e7ffff,1,1,assets\ISIC_2019_Test_Organized\melanoma\ISIC_0059514.jpg,assets\bcn_20000_data\ISIC_0059514.jpg,ISIC_0059514,ISIC_0059514
average_hash,000100c36ff7efff,1,1,assets\ISIC_2019_Test_Organized\nevus\ISIC_0068635.jpg,assets\bcn_20000_data\ISIC_0068635.jpg,ISIC_0068635,ISIC_0068635
average_hash,000131d686c9f0f8,1,1,assets\ISIC_2019_Test_Organized\melanoma\ISIC_0068836.jpg,assets\bcn_20000_data\ISIC_0068836.jpg,ISIC_0068836,ISIC_0068836
average_hash,00018181c1e3ff7e,1,1,assets\ISIC_2019_Test_Organized\melanoma\ISIC_0061218.jpg,assets\bcn_20000_data\ISIC_0061218.jpg,ISIC_0061218,ISIC_0061218
average_hash,000181c0c1e0e7ff,1,1,assets\ISIC_2019_Test_Organized\melanoma\ISIC_0064871.jpg,assets\bcn_20000_data\ISIC_0064871.jpg,ISIC_0064871,ISIC_0064871
average_hash,0001c7ff7823b7ca,1,1,assets\ISIC_2019_Test_Organized\nevus\ISIC_0068710.jpg,assets\bcn_20000_data\ISIC_0068710.jpg,ISIC_0068710,ISIC_0068710
average_hash,000203031b1f4f7e,1,1,assets\ISIC_2019_Test_Organized\melanoma\ISIC_0064601.jpg,assets\bcn_20000_data\ISIC_0064601.jpg,ISIC_0064601,ISIC_0064601
average_hash,000287c7c7ffff7f,1,1,assets\ISIC_2019_Test_Organized\nevus\ISIC_0065793.jpg,assets\bcn_20000_data\ISIC_0065793.jpg,ISIC_0065793,ISIC_0065793
average_hash,0003030727fffffe,1,1,assets\ISIC_2019_Test_Organized\actinic keratosis\ISIC_0064244.jpg,assets\bcn_20000_data\ISIC_0064244.jpg,ISIC_0064244,ISIC_0064244
average_hash,000303c3e1ffff7e,1,1,assets\ISIC_2019_Test_Organized\melanoma\ISIC_0066905.jpg,assets\bcn_20000_data\ISIC_0066905.jpg,ISIC_0066905,ISIC_0066905
average_hash,0003e3c7c7773b5f,1,1,assets\ISIC_2019_Test_Organized\melanoma\ISIC_0067028.jpg,assets\bcn_20000_data\ISIC_0067028.jpg,ISIC_0067028,ISIC_0067028
average_hash,000404c4f6fffe7e,1,1,assets\ISIC_2019_Test_Organized\benign keratosis\ISIC_0070790.jpg,assets\bcn_20000_data\ISIC_0070790.jpg,ISIC_0070790,ISIC_0070790
average_hash,000603e3ffff7e3c,1,1,assets\ISIC_2019_Test_Organized\melanoma\ISIC_0065025.jpg,assets\bcn_20000_data\ISIC_0065025.jpg,ISIC_0065025,ISIC_0065025
average_hash,000647e7ebff7f3e,1,1,assets\ISIC_2019_Test_Organized\melanoma\ISIC_0070702.jpg,assets\bcn_20000_data\ISIC_0070702.jpg,ISIC_0070702,ISIC_0070702
average_hash,000804010181ffff,1,1,assets\ISIC_2019_Test_Organized\melanoma\ISIC_0056816.jpg,assets\bcn_20000_data\ISIC_0056816.jpg,ISIC_0056816,ISIC_0056816
average_hash,000807070687f7ff,1,1,assets\ISIC_2019_Test_Organized\melanoma\ISIC_0057697.jpg,assets\bcn_20000_data\ISIC_0057697.jpg,ISIC_0057697,ISIC_0057697
average_hash,000808317fff7e3c,1,1,assets\ISIC_2019_Test_Organized\melanoma\ISIC_0065106.jpg,assets\bcn_20000_data\ISIC_0065106.jpg,ISIC_0065106,ISIC_0065106
average_hash,00083c7e7e3c1800,8,17,assets\ISIC_2019_Test_Organized\melanoma\ISIC_0054379.jpg;assets\ISIC_2019_Test_Organized\melanoma\ISIC_0054512.jpg;assets\ISIC_2019_Test_Organized\melanoma\ISIC_0056919.jpg;assets\ISIC_2019_Test_Organized\melanoma\ISIC_0057673.jpg;assets\ISIC_2019_Test_Organized\melanoma\ISIC_0059315.jpg;assets\ISIC_2019_Test_Organized\melanoma\ISIC_0059568.jpg;assets\ISIC_2019_Test_Organized\nevus\ISIC_0063837.jpg;assets\ISIC_2019_Test_Organized\nevus\ISIC_0066167.jpg,assets\bcn_20000_data\ISIC_0054192.jpg;assets\bcn_20000_data\ISIC_0054379.jpg;assets\bcn_20000_data\ISIC_0054512.jpg;assets\bcn_20000_data\ISIC_0056190.jpg;assets\bcn_20000_data\ISIC_0056919.jpg;assets\bcn_20000_data\ISIC_0057673.jpg;assets\bcn_20000_data\ISIC_0059315.jpg;assets\bcn_20000_data\ISIC_0059568.jpg;assets\bcn_20000_data\ISIC_0060105.jpg;assets\bcn_20000_data\ISIC_0063837.jpg,ISIC_0054379;ISIC_0054512;ISIC_0056919;ISIC_0057673;ISIC_0059315;ISIC_0059568;ISIC_0063837;ISIC_0066167,ISIC_0054192;ISIC_0054379;ISIC_0054512;ISIC_0056190;ISIC_0056919;ISIC_0057673;ISIC_0059315;ISIC_0059568;ISIC_0060105;ISIC_0063837
average_hash,0008bc7f3f1f1f3f,1,1,assets\ISIC_2019_Test_Organized\melanoma\ISIC_0061380.jpg,assets\bcn_20000_data\ISIC_0061380.jpg,ISIC_0061380,ISIC_0061380
average_hash,000c0b0f6f7fff7e,1,1,assets\ISIC_2019_Test_Organized\nevus\ISIC_0060067.jpg,assets\bcn_20000_data\ISIC_0060067.jpg,ISIC_0060067,ISIC_0060067
average_hash,000c7e7e7e3e1c00,1,1,assets\ISIC_2019_Test_Organized\melanoma\ISIC_0066324.jpg,assets\bcn_20000_data\ISIC_0066324.jpg,ISIC_0066324,ISIC_0066324
average_hash,000cfefcfc7e3c10,1,1,assets\ISIC_2019_Test_Organized\basal cell carcinoma\ISIC_0067316.jpg,assets\bcn_20000_data\ISIC_0067316.jpg,ISIC_0067316,ISIC_0067316
average_hash,000e8f9f9f1f3f7e,1,1,assets\ISIC_2019_Test_Organized\benign keratosis\ISIC_0064245.jpg,assets\bcn_20000_data\ISIC_0064245.jpg,ISIC_0064245,ISIC_0064245
average_hash,00103c7c743c1800,1,1,assets\ISIC_2019_Test_Organized\melanoma\ISIC_0056001.jpg,assets\bcn_20000_data\ISIC_0056001.jpg,ISIC_0056001,ISIC_0056001
average_hash,00103c7e7e3c1800,4,19,assets\ISIC_2019_Test_Organized\melanoma\ISIC_0058126.jpg;assets\ISIC_2019_Test_Organized\melanoma\ISIC_0061619.jpg;assets\ISIC_2019_Test_Organized\nevus\ISIC_0058137.jpg;assets\ISIC_2019_Test_Organized\nevus\ISIC_0062285.jpg,assets\bcn_20000_data\ISIC_0054464.jpg;assets\bcn_20000_data\ISIC_0054975.jpg;assets\bcn_20000_data\ISIC_0055057.jpg;assets\bcn_20000_data\ISIC_0057890.jpg;assets\bcn_20000_data\ISIC_0058036.jpg;assets\bcn_20000_data\ISIC_0058126.jpg;assets\bcn_20000_data\ISIC_0058137.jpg;assets\bcn_20000_data\ISIC_0059276.jpg;assets\bcn_20000_data\ISIC_0061619.jpg;assets\bcn_20000_data\ISIC_0062285.jpg,ISIC_0058126;ISIC_0061619;ISIC_0058137;ISIC_0062285,ISIC_0054464;ISIC_0054975;ISIC_0055057;ISIC_0057890;ISIC_0058036;ISIC_0058126;ISIC_0058137;ISIC_0059276;ISIC_0061619;ISIC_0062285
average_hash,00147e7e7e7e3c00,1,1,assets\ISIC_2019_Test_Organized\melanoma\ISIC_0072862.jpg,assets\bcn_20000_data\ISIC_0072862.jpg,ISIC_0072862,ISIC_0072862
average_hash,00183c3c7e3c1800,1,2,assets\ISIC_2019_Test_Organized\melanoma\ISIC_0070089.jpg,assets\bcn_20000_data\ISIC_0057218.jpg;assets\bcn_20000_data\ISIC_0070089.jpg,ISIC_0070089,ISIC_0057218;ISIC_0070089
average_hash,00183c3e3e3c1800,2,14,assets\ISIC_2019_Test_Organized\benign keratosis\ISIC_0063576.jpg;assets\ISIC_2019_Test_Organized\melanoma\ISIC_0063797.jpg,assets\bcn_20000_data\ISIC_0057350.jpg;assets\bcn_20000_data\ISIC_0058250.jpg;assets\bcn_20000_data\ISIC_0058606.jpg;assets\bcn_20000_data\ISIC_0060003.jpg;assets\bcn_20000_data\ISIC_0060275.jpg;assets\bcn_20000_data\ISIC_0062628.jpg;assets\bcn_20000_data\ISIC_0063576.jpg;assets\bcn_20000_data\ISIC_0063630.jpg;assets\bcn_20000_data\ISIC_0063797.jpg;assets\bcn_20000_data\ISIC_0064549.jpg,ISIC_0063576;ISIC_0063797,ISIC_0057350;ISIC_0058250;ISIC_0058606;ISIC_0060003;ISIC_0060275;ISIC_0062628;ISIC_0063576;ISIC_0063630;ISIC_0063797;ISIC_0064549
average_hash,00183c3e7e3c0800,1,1,assets\ISIC_2019_Test_Organized\nevus\ISIC_0070591.jpg,assets\bcn_20000_data\ISIC_0070591.jpg,ISIC_0070591,ISIC_0070591
average_hash,00183c3e7e3c1800,2,13,assets\ISIC_2019_Test_Organized\basal cell carcinoma\ISIC_0056322.jpg;assets\ISIC_2019_Test_Organized\melanoma\ISIC_0054106.jpg,assets\bcn_20000_data\ISIC_0054106.jpg;assets\bcn_20000_data\ISIC_0055951.jpg;assets\bcn_20000_data\ISIC_0056322.jpg;assets\bcn_20000_data\ISIC_0056696.jpg;assets\bcn_20000_data\ISIC_0061770.jpg;assets\bcn_20000_data\ISIC_0062738.jpg;assets\bcn_20000_data\ISIC_0063231.jpg;assets\bcn_20000_data\ISIC_0064286.jpg;assets\bcn_20000_data\ISIC_0068287.jpg;assets\bcn_20000_data\ISIC_0068443.jpg,ISIC_0056322;ISIC_0054106,ISIC_0054106;ISIC_0055951;ISIC_0056322;ISIC_0056696;ISIC_0061770;ISIC_0062738;ISIC_0063231;ISIC_0064286;ISIC_0068287;ISIC_0068443
average_hash,00183c76663c1800,1,1,assets\ISIC_2019_Test_Organized\melanoma\ISIC_0066047.jpg,assets\bcn_20000_data\ISIC_0066047.jpg,ISIC_0066047,ISIC_0066047
average_hash,00183c767e3c1800,1,2,assets\ISIC_2019_Test_Organized\nevus\ISIC_0060018.jpg,assets\bcn_20000_data\ISIC_0060018.jpg;assets\bcn_20000_data\ISIC_0071857.jpg,ISIC_0060018,ISIC_0060018;ISIC_0071857
average_hash,00183c767e7e3c00,1,1,assets\ISIC_2019_Test_Organized\vascular lesion\ISIC_0072281.jpg,assets\bcn_20000_data\ISIC_0072281.jpg,ISIC_0072281,ISIC_0072281
average_hash,00183c7c7c3c1800,3,12,assets\ISIC_2019_Test_Organized\melanoma\ISIC_0054548.jpg;assets\ISIC_2019_Test_Organized\melanoma\ISIC_0055002.jpg;assets\ISIC_2019_Test_Organized\melanoma\ISIC_0066093.jpg,assets\bcn_20000_data\ISIC_0054548.jpg;assets\bcn_20000_data\ISIC_0054710.jpg;assets\bcn_20000_data\ISIC_0055002.jpg;assets\bcn_20000_data\ISIC_0056175.jpg;assets\bcn_20000_data\ISIC_0059897.jpg;assets\bcn_20000_data\ISIC_0062155.jpg;assets\bcn_20000_data\ISIC_0063223.jpg;assets\bcn_20000_data\ISIC_0064363.jpg;assets\bcn_20000_data\ISIC_0064535.jpg;assets\bcn_20000_data\ISIC_0065763.jpg,ISIC_0054548;ISIC_0055002;ISIC_0066093,ISIC_0054548;ISIC_0054710;ISIC_0055002;ISIC_0056175;ISIC_0059897;ISIC_0062155;ISIC_0063223;ISIC_0064363;ISIC_0064535;ISIC_0065763
average_hash,00183c7c7e3c1800,1,9,assets\ISIC_2019_Test_Organized\melanoma\ISIC_0068190.jpg,assets\bcn_20000_data\ISIC_0063836.jpg;assets\bcn_20000_data\ISIC_0064961.jpg;assets\bcn_20000_data\ISIC_0067087.jpg;assets\bcn_20000_data\ISIC_0068190.jpg;assets\bcn_20000_data\ISIC_0068545.jpg;assets\bcn_20000_data\ISIC_0068881.jpg;assets\bcn_20000_data\ISIC_0071319.jpg;assets\bcn_20000_data\ISIC_0072262.jpg;assets\bcn_20000_data\ISIC_0072302.jpg,ISIC_0068190,ISIC_0063836;ISIC_0064961;ISIC_0067087;ISIC_0068190;ISIC_0068545;ISIC_0068881;ISIC_0071319;ISIC_0072262;ISIC_0072302
average_hash,00183c7e3e3c1800,3,11,assets\ISIC_2019_Test_Organized\melanoma\ISIC_0055900.jpg;assets\ISIC_2019_Test_Organized\melanoma\ISIC_0066629.jpg;assets\ISIC_2019_Test_Organized\nevus\ISIC_0064359.jpg,assets\bcn_20000_data\ISIC_0054611.jpg;assets\bcn_20000_data\ISIC_0055900.jpg;assets\bcn_20000_data\ISIC_0056066.jpg;assets\bcn_20000_data\ISIC_0056797.jpg;assets\bcn_20000_data\ISIC_0058644.jpg;assets\bcn_20000_data\ISIC_0059874.jpg;assets\bcn_20000_data\ISIC_0063869.jpg;assets\bcn_20000_data\ISIC_0064359.jpg;assets\bcn_20000_data\ISIC_0065556.jpg;assets\bcn_20000_data\ISIC_0066629.jpg,ISIC_0055900;ISIC_0066629;ISIC_0064359,ISIC_0054611;ISIC_0055900;ISIC_0056066;ISIC_0056797;ISIC_0058644;ISIC_0059874;ISIC_0063869;ISIC_0064359;ISIC_0065556;ISIC_0066629
average_hash,00183c7e6e3c1800,1,6,assets\ISIC_2019_Test_Organized\nevus\ISIC_0069527.jpg,assets\bcn_20000_data\ISIC_0057235.jpg;assets\bcn_20000_data\ISIC_0066366.jpg;assets\bcn_20000_data\ISIC_0069527.jpg;assets\bcn_20000_data\ISIC_0071992.jpg;assets\bcn_20000_data\ISIC_0072522.jpg;assets\bcn_20000_data\ISIC_0073156.jpg,ISIC_0069527,ISIC_0057235;ISIC_0066366;ISIC_0069527;ISIC_0071992;ISIC_0072522;ISIC_0073156
average_hash,00183c7e6e7c3800,1,1,assets\ISIC_2019_Test_Organized\nevus\ISIC_0057991.jpg,assets\bcn_20000_data\ISIC_0057991.jpg,ISIC_0057991,ISIC_0057991
average_hash,00183c7e7c3c1800,5,10,assets\ISIC_2019_Test_Organized\melanoma\ISIC_0054117.jpg;assets\ISIC_2019_Test_Organized\melanoma\ISIC_0054577.jpg;assets\ISIC_2019_Test_Organized\melanoma\ISIC_0061485.jpg;assets\ISIC_2019_Test_Organized\melanoma\ISIC_0062122.jpg;assets\ISIC_2019_Test_Organized\vascular lesion\ISIC_0066808.jpg,assets\bcn_20000_data\ISIC_0054117.jpg;assets\bcn_20000_data\ISIC_0054577.jpg;assets\bcn_20000_data\ISIC_0054870.jpg;assets\bcn_20000_data\ISIC_0058086.jpg;assets\bcn_20000_data\ISIC_0060440.jpg;assets\bcn_20000_data\ISIC_0061485.jpg;assets\bcn_20000_data\ISIC_0061490.jpg;assets\bcn_20000_data\ISIC_0062122.jpg;assets\bcn_20000_data\ISIC_0066808.jpg;assets\bcn_20000_data\ISIC_0071801.jpg,ISIC_0054117;ISIC_0054577;ISIC_0061485;ISIC_0062122;ISIC_0066808,ISIC_0054117;ISIC_0054577;ISIC_0054870;ISIC_0058086;ISIC_0060440;ISIC_0061485;ISIC_0061490;ISIC_0062122;ISIC_0066808;ISIC_0071801
average_hash,00183c7e7e3c0000,2,7,assets\ISIC_2019_Test_Organized\melanoma\ISIC_0058721.jpg;assets\ISIC_2019_Test_Organized\nevus\ISIC_0055585.jpg,assets\bcn_20000_data\ISIC_0055585.jpg;assets\bcn_20000_data\ISIC_0056219.jpg;assets\bcn_20000_data\ISIC_0058527.jpg;assets\bcn_20000_data\ISIC_0058721.jpg;assets\bcn_20000_data\ISIC_0066066.jpg;assets\bcn_20000_data\ISIC_0071103.jpg;assets\bcn_20000_data\ISIC_0071267.jpg,ISIC_0058721;ISIC_0055585,ISIC_0055585;ISIC_0056219;ISIC_0058527;ISIC_0058721;ISIC_0066066;ISIC_0071103;ISIC_0071267
average_hash,00183c7e7e3c0800,1,5,assets\ISIC_2019_Test_Organized\melanoma\ISIC_0069810.jpg,assets\bcn_20000_data\ISIC_0056806.jpg;assets\bcn_20000_data\ISIC_0066347.jpg;assets\bcn_20000_data\ISIC_0067557.jpg;assets\bcn_20000_data\ISIC_0067730.jpg;assets\bcn_20000_data\ISIC_0069810.jpg,ISIC_0069810,ISIC_0056806;ISIC_0066347;ISIC_0067557;ISIC_0067730;ISIC_0069810
average_hash,00183c7e7e3c1000,3,8,assets\ISIC_2019_Test_Organized\basal cell carcinoma\ISIC_0061004.jpg;assets\ISIC_2019_Test_Organized\melanoma\ISIC_0061466.jpg;assets\ISIC_2019_Test_Organized\nevus\ISIC_0064886.jpg,assets\bcn_20000_data\ISIC_0057251.jpg;assets\bcn_20000_data\ISIC_0057747.jpg;assets\bcn_20000_data\ISIC_0061004.jpg;assets\bcn_20000_data\ISIC_0061466.jpg;assets\bcn_20000_data\ISIC_0064886.jpg;assets\bcn_20000_data\ISIC_0070085.jpg;assets\bcn_20000_data\ISIC_0070220.jpg;assets\bcn_20000_data\ISIC_0070975.jpg,ISIC_0061004;ISIC_0061466;ISIC_0064886,ISIC_0057251;ISIC_0057747;ISIC_0061004;ISIC_0061466;ISIC_0064886;ISIC_0070085;ISIC_0070220;ISIC_0070975
average_hash,00183c7e7e3c1800,282,1110,assets\ISIC_2019_Test_Organized\actinic keratosis\ISIC_0053728.jpg;assets\ISIC_2019_Test_Organized\actinic keratosis\ISIC_0053819.jpg;assets\ISIC_2019_Test_Organized\actinic keratosis\ISIC_0054737.jpg;assets\ISIC_2019_Test_Organized\actinic keratosis\ISIC_0055589.jpg;assets\ISIC_2019_Test_Organized\actinic keratosis\ISIC_0057031.jpg;assets\ISIC_2019_Test_Organized\actinic keratosis\ISIC_0057284.jpg;assets\ISIC_2019_Test_Organized\actinic keratosis\ISIC_0057995.jpg;assets\ISIC_2019_Test_Organized\actinic keratosis\ISIC_0058114.jpg;assets\ISIC_2019_Test_Organized\actinic keratosis\ISIC_0059337.jpg;assets\ISIC_2019_Test_Organized\actinic keratosis\ISIC_0059662.jpg,assets\bcn_20000_data\ISIC_0053470.jpg;assets\bcn_20000_data\ISIC_0053479.jpg;assets\bcn_20000_data\ISIC_0053484.jpg;assets\bcn_20000_data\ISIC_0053529.jpg;assets\bcn_20000_data\ISIC_0053531.jpg;assets\bcn_20000_data\ISIC_0053541.jpg;assets\bcn_20000_data\ISIC_0053564.jpg;assets\bcn_20000_data\ISIC_0053590.jpg;assets\bcn_20000_data\ISIC_0053605.jpg;assets\bcn_20000_data\ISIC_0053643.jpg,ISIC_0053728;ISIC_0053819;ISIC_0054737;ISIC_0055589;ISIC_0057031;ISIC_0057284;ISIC_0057995;ISIC_0058114;ISIC_0059337;ISIC_0059662,ISIC_0053470;ISIC_0053479;ISIC_0053484;ISIC_0053529;ISIC_0053531;ISIC_0053541;ISIC_0053564;ISIC_0053590;ISIC_0053605;ISIC_0053643
average_hash,00183c7e7e3c1c00,3,15,assets\ISIC_2019_Test_Organized\benign keratosis\ISIC_0062888.jpg;assets\ISIC_2019_Test_Organized\melanoma\ISIC_0060836.jpg;assets\ISIC_2019_Test_Organized\nevus\ISIC_0067658.jpg,assets\bcn_20000_data\ISIC_0054165.jpg;assets\bcn_20000_data\ISIC_0054527.jpg;assets\bcn_20000_data\ISIC_0054537.jpg;assets\bcn_20000_data\ISIC_0057302.jpg;assets\bcn_20000_data\ISIC_0057436.jpg;assets\bcn_20000_data\ISIC_0058930.jpg;assets\bcn_20000_data\ISIC_0059665.jpg;assets\bcn_20000_data\ISIC_0060836.jpg;assets\bcn_20000_data\ISIC_0062888.jpg;assets\bcn_20000_data\ISIC_0064992.jpg,ISIC_0062888;ISIC_0060836;ISIC_0067658,ISIC_0054165;ISIC_0054527;ISIC_0054537;ISIC_0057302;ISIC_0057436;ISIC_0058930;ISIC_0059665;ISIC_0060836;ISIC_0062888;ISIC_0064992
average_hash,00183c7e7e3c3800,1,13,assets\ISIC_2019_Test_Organized\melanoma\ISIC_0055175.jpg,assets\bcn_20000_data\ISIC_0053533.jpg;assets\bcn_20000_data\ISIC_0054418.jpg;assets\bcn_20000_data\ISIC_0055175.jpg;assets\bcn_20000_data\ISIC_0055179.jpg;assets\bcn_20000_data\ISIC_0055501.jpg;assets\bcn_20000_data\ISIC_0059181.jpg;assets\bcn_20000_data\ISIC_0064375.jpg;assets\bcn_20000_data\ISIC_0064695.jpg;assets\bcn_20000_data\ISIC_0064741.jpg;assets\bcn_20000_data\ISIC_0067682.jpg,ISIC_0055175,ISIC_0053533;ISIC_0054418;ISIC_0055175;ISIC_0055179;ISIC_0055501;ISIC_0059181;ISIC_0064375;ISIC_0064695;ISIC_0064741;ISIC_0067682
average_hash,00183c7e7e3c3c00,2,6,assets\ISIC_2019_Test_Organized\basal cell carcinoma\ISIC_0056417.jpg;assets\ISIC_2019_Test_Organized\nevus\ISIC_0069415.jpg,assets\bcn_20000_data\ISIC_0055551.jpg;assets\bcn_20000_data\ISIC_0056417.jpg;assets\bcn_20000_data\ISIC_0059785.jpg;assets\bcn_20000_data\ISIC_0061757.jpg;assets\bcn_20000_data\ISIC_0066337.jpg;assets\bcn_20000_data\ISIC_0069415.jpg,ISIC_0056417;ISIC_0069415,ISIC_0055551;ISIC_0056417;ISIC_0059785;ISIC_0061757;ISIC_0066337;ISIC_0069415
average_hash,00183c7e7e3e1800,1,3,assets\ISIC_2019_Test_Organized\benign keratosis\ISIC_0070733.jpg,assets\bcn_20000_data\ISIC_0056287.jpg;assets\bcn_20000_data\ISIC_0070733.jpg;assets\bcn_20000_data\ISIC_0071315.jpg,ISIC_0070733,ISIC_0056287;ISIC_0070733;ISIC_0071315
average_hash,00183c7e7e3e1c00,7,25,assets\ISIC_2019_Test_Organized\actinic keratosis\ISIC_0070607.jpg;assets\ISIC_2019_Test_Organized\basal cell carcinoma\ISIC_0061989.jpg;assets\ISIC_2019_Test_Organized\dermatofibroma\ISIC_0063570.jpg;assets\ISIC_2019_Test_Organized\dermatofibroma\ISIC_0063857.jpg;assets\ISIC_2019_Test_Organized\melanoma\ISIC_0057808.jpg;assets\ISIC_2019_Test_Organized\nevus\ISIC_0072543.jpg;assets\ISIC_2019_Test_Organized\squamous cell carcinoma\ISIC_0057414.jpg,assets\bcn_20000_data\ISIC_0055081.jpg;assets\bcn_20000_data\ISIC_0055949.jpg;assets\bcn_20000_data\ISIC_0057370.jpg;assets\bcn_20000_data\ISIC_0057414.jpg;assets\bcn_20000_data\ISIC_0057808.jpg;assets\bcn_20000_data\ISIC_0060150.jpg;assets\bcn_20000_data\ISIC_0060634.jpg;assets\bcn_20000_data\ISIC_0060706.jpg;assets\bcn_20000_data\ISIC_0061989.jpg;assets\bcn_20000_data\ISIC_0063570.jpg,ISIC_0070607;ISIC_0061989;ISIC_0063570;ISIC_0063857;ISIC_0057808;ISIC_0072543;ISIC_0057414,ISIC_0055081;ISIC_0055949;ISIC_0057370;ISIC_0057414;ISIC_0057808;ISIC_0060150;ISIC_0060634;ISIC_0060706;ISIC_0061989;ISIC_0063570
